Country,GDP
United States,21440
"China, People's Republic of",14140
Japan,5150
Germany,3860
India,2940
United Kingdom,2740
France,2710
Italy,1990
Brazil,1850
Canada,1730
Russian Federation,1640
"Korea, Republic of",1630
Spain,1400
Australia,1380
Mexico,1270
Indonesia,1110
Netherlands,902.36
Saudi Arabia,779.29
Turkey,743.71
Switzerland,715.36
Taiwan Province of China,586.1
Poland,565.85
Thailand,529.18
Sweden,528.93
Belgium,517.61
Iran,458.5
Austria,447.72
Nigeria,446.54
Argentina,445.47
Norway,417.63
United Arab Emirates,405.77
Israel,387.72
Ireland,384.94
Hong Kong SAR,372.99
Malaysia,365.3
Singapore,362.82
South Africa,358.84
Philippines,356.81
Denmark,347.18
Colombia,327.9
Bangladesh,317.46
Egypt,302.26
Chile,294.24
Pakistan,284.21
Finland,269.65
Vietnam,261.64
Czech Republic,246.95
Romania,243.7
Portugal,236.41
Peru,228.99
Iraq,224.46
Greece,214.01
New Zealand,204.67
Qatar,191.85
Algeria,172.78
Hungary,170.41
Kazakhstan,170.33
Ukraine,150.4
Kuwait,137.59
Morocco,119.04
Ecuador,107.91
Slovak Republic,106.55
Puerto Rico,99.91
Kenya,98.61
Angola,91.53
Ethiopia,91.17
Dominican Republic,89.48
Sri Lanka,86.57
Guatemala,81.32
Oman,76.61
Venezuela,70.14
Luxembourg,69.45
Panama,68.54
Ghana,67.08
Bulgaria,66.25
Myanmar,65.99
Belarus,62.57
Tanzania,62.22
Costa Rica,61.02
Croatia,60.7
Uzbekistan,60.49
Uruguay,59.92
Lebanon,58.57
Macao SAR,55.14
Slovenia,54.15
Lithuania,53.64
Serbia,51.52
"Congo, Dem. Rep. of the",48.99
Azerbaijan,47.17
Turkmenistan,46.67
Côte d'Ivoire,44.44
Jordan,44.17
Bolivia,42.4
Paraguay,40.71
Tunisia,38.73
Cameroon,38.63
Bahrain,38.18
Latvia,35.05
Libya,33.02
Estonia,31.04
Sudan,30.87
Uganda,30.67
Yemen,29.86
Nepal,29.81
El Salvador,26.87
Cambodia,26.73
Honduras,24.45
Cyprus,24.28
Zambia,23.95
Senegal,23.94
Iceland,23.92
Papua New Guinea,23.59
Trinidad and Tobago,22.61
Bosnia and Herzegovina,20.11
Lao P.D.R.,19.13
Afghanistan,18.73
Botswana,18.69
Mali,17.65
Gabon,16.88
Georgia,15.93
Jamaica,15.7
Albania,15.42
Mozambique,15.09
Malta,14.86
Burkina Faso,14.59
Mauritius,14.39
Benin,14.37
Namibia,14.37
Mongolia,13.64
Armenia,13.44
Guinea,13.37
Zimbabwe,12.82
North Macedonia,12.67
"Bahamas, The",12.66
Madagascar,12.55
Nicaragua,12.53
Brunei Darussalam,12.46
Equatorial Guinea,12.14
Moldova,11.69
"Congo, Republic of",11.58
Chad,11.03
Rwanda,10.21
Niger,9.44
Haiti,8.82
Kyrgyz Republic,8.26
Tajikistan,8.15
Kosovo,8
Malawi,7.52
Maldives,5.79
Fiji,5.71
Mauritania,5.65
Togo,5.5
Montenegro,5.42
Barbados,5.19
Somalia,4.96
Eswatini,4.66
Sierra Leone,4.23
Guyana,4.12
Suriname,3.77
"South Sudan, Republic of",3.68
Burundi,3.57
Liberia,3.22
Djibouti,3.17
Timor-Leste,2.94
Aruba,2.9
Bhutan,2.84
Lesotho,2.74
Central African Republic,2.32
Eritrea,2.11
Cabo Verde,2.01
Belize,2
Saint Lucia,1.99
"Gambia, The",1.77
Antigua and Barbuda,1.69
Seychelles,1.64
San Marino,1.59
Solomon Islands,1.44
Guinea-Bissau,1.4
Grenada,1.24
Comoros,1.18
Saint Kitts and Nevis,1.03
Vanuatu,0.95
Samoa,0.91
Saint Vincent and the Grenadines,0.86
Dominica,0.59
Tonga,0.49
São Tomé and Príncipe,0.43
"Micronesia, Fed. States of",0.38
Palau,0.29
Marshall Islands,0.22
Kiribati,0.18
Nauru,0.11
Tuvalu,0.04
