"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","18886632.6892713","22446465.9748354","27484014.0336972","32447537.0720575","35915259.8645401","41002908.6461057","45007742.4880377","50524815.7527424","58142447.8705374","61917975.6477727","64615234.9676258","71570390.3245177","78721652.1186516","74771117.4420098","75737587.0644026","87413440.184112","84993114.9536085","99150639.5745389","115682487.743359","105598028.672482","116302470.731887","96573513.9868","119073201.1158","133276089.3898","148064703.9312","132871173.1792","165994889.529403","175754442.806228","163300430.087631","174391682.028547","170645526.943854","171886654.301601","","",
"Afghanistan","AFG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","18161689.9380098","18688866.53","16311089.38","23024416.272","33405361.4428117","29013333.336","39607770.2719302","42248887.772","51136157.4709825","52860413.046","59464851.952","60375754.932","","","","","","","","","","","","","","","","","","","","","","","","","","","","344713151.613121","448388745.723924","505735687.655347","426770431.710475","573021087.651835","607320259.739302","518942904.308231","494499592.602003","507395511.259906","","",
"Angola","AGO","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","320855614.992","447860962.593","354278074.887","334298241.998133","501447362.972193","441176470.592","468499207.989581","154550693.763264","143042163.998304","85858467.1291239","210815317.671509","257568357.143929","297374094.229785","155048943.056","143416748.204834","222717170.9685","214983478.08025","387686651.838","444784089.065399","566607736.842898","861381734.710404","1173559794.989","1613246088.54348","2285783734.29451","2102908337.16819","2702941027.2669","3641400000","4212600000","4533900000","4890900000","3927000000","3422358585.6978","4212600000","","",
"Albania","ALB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","52095064.336","53156603.724","58727935","58273495","57440215","63083720","56746305","30180052.784","17454849.0312","32852841.336","52806637.688","69261077.5241062","92978009.4878395","65619404.8058688","74558147.7037896","94208825.1138","103590687.346505","117838828.692488","130714593.241631","170464101.218802","219086358.556986","246492068.961583","276842900.4562","334221836.301524","397193179.727384","366309533.824445","367579696.34589","404303278.884943","386168150.28034","413362001.940169","420810153.854241","359947276.067324","430657224.094988","468667101.494931","","",
"Andorra","AND","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","425548451.958","759709053.377542","615591003.96","896277751.118","1308238022.106","903517860.446","511850028.21","845088048.345","923463585.856","1372523302.82","1678304628.066","1457990929.25063","1188657439.395","1471082613.525","1799923245.48","1087742527.482","1272000000","1272000000","1405456140","772414087.962","1350000000","3865997320","6975000000","8424000000","10414000000","8782563064","9345000000","9116700796","11516736786.2099","12254400000","12742000000","12841200000","3988842928.419","4562800000","4818000000","6142399999.99999","8280000000","10808000000","15002500000","15536300000","18486800000","25045845717.7823","27750869000.3017","28253338709.4341","26234709329.2054","30665433028.9986","27583587033.3462","31545870253.6059","","",
"Armenia","ARM","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76084762.215","72316663.195","37215680.32","38590215.545","35157276.7563998","39217973.3138902","27908298.098","31955150.7623384","43375556.925951","43188417.8657443","45682598.96928","51917077.5451666","59918067.963255","72077130.8514681","93462683.3621089","132249831.344688","176705203.169644","261573903.567902","339528925.162819","252310803.481541","277391347.697616","305311196.436963","326853743.8456","301002324.921","255163723.542","296117157.100474","263833077.473555","293952749.672029","","",
"American Samoa","ASM","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","8891096.004","9055745.93","7961999.993","8056085.665","9314481.528","9961320.523","12419308.704","14959621.848","16382667.637","17770431.299","19522776.94","20957583.438","22310064.973","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
